Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,154.500000,154.809998,153.539993,154.250000,130.580139,4202500
2018-01-03,157.339996,159.809998,156.330002,158.490005,134.169525,9441600
2018-01-04,159.649994,162.320007,159.369995,161.699997,136.886948,7556200
2018-01-05,162.440002,162.899994,161.100006,162.490005,137.555725,5195800
2018-01-08,162.660004,163.910004,161.699997,163.470001,138.385315,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,138.690048,4341800
2018-01-10,162.910004,164.330002,162.500000,164.179993,138.986359,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,139.003326,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,138.105942,5031900
2018-01-16,165.100006,165.289993,163.350006,163.850006,138.707001,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,142.770416,11710000
2018-01-18,170.000000,171.130005,168.149994,169.119995,143.168304,14259300
2018-01-19,164.460007,165.399994,161.300003,162.369995,137.454132,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,137.648834,8480800
2018-01-23,162.820007,166.259995,162.509995,166.250000,140.738739,7466200
2018-01-24,166.750000,168.720001,164.820007,165.369995,139.993759,5645000
2018-01-25,165.910004,166.779999,165.190002,165.470001,140.078415,3302500
2018-01-26,166.119995,167.410004,165.789993,167.339996,141.661453,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,141.204346,3517000
2018-01-30,166.210007,166.770004,163.160004,163.619995,138.512314,4902300
2018-01-31,163.750000,164.990005,162.759995,163.699997,138.580032,4072800
2018-02-01,163.190002,164.130005,161.899994,162.399994,137.479507,4434200
2018-02-02,161.699997,162.000000,158.869995,159.029999,134.626633,5251900
2018-02-05,157.889999,158.500000,150.000000,152.529999,129.124084,8746600
2018-02-06,150.289993,155.490005,149.110001,155.339996,131.502869,9867700
2018-02-07,154.169998,155.339996,153.279999,153.850006,130.241516,6149200
2018-02-08,152.479996,153.160004,147.500000,147.589996,126.172295,6779100
2018-02-09,148.600006,150.539993,144.399994,149.509995,127.813660,7828300
2018-02-12,150.899994,152.399994,150.300003,151.399994,129.429352,5881400
2018-02-13,150.899994,151.179993,149.639999,150.750000,128.873703,4891000
2018-02-14,150.190002,155.000000,150.000000,154.759995,132.301819,5479000
2018-02-15,155.500000,156.860001,153.699997,156.009995,133.370392,5623600
2018-02-16,155.710007,157.789993,155.690002,156.179993,133.515747,4282900
2018-02-20,155.789993,155.960007,153.869995,155.160004,132.643753,4489600
2018-02-21,155.429993,156.789993,153.899994,153.960007,131.617889,3728600
2018-02-22,154.500000,155.039993,152.789993,153.179993,130.951080,4024600
2018-02-23,154.300003,155.850006,154.070007,155.520004,132.951508,3256100
2018-02-26,155.809998,158.880005,155.509995,158.580002,135.567429,3610300
2018-02-27,158.460007,159.779999,156.529999,156.550003,133.832062,4237300
2018-02-28,157.500000,158.139999,155.800003,155.830002,133.216522,3803500
2018-03-01,155.529999,156.970001,152.789993,153.809998,131.489639,4039300
2018-03-02,152.789993,154.759995,151.880005,154.490005,132.070999,3261100
2018-03-05,154.119995,157.490005,153.750000,156.949997,134.173965,3670600
2018-03-06,157.279999,157.889999,155.160004,155.720001,133.122467,3685700
2018-03-07,155.000000,158.830002,154.729996,158.320007,135.345184,4607700
2018-03-08,159.000000,159.570007,155.070007,156.210007,133.541397,6455600
2018-03-09,157.470001,159.580002,157.300003,159.309998,136.191513,5022200
2018-03-12,159.639999,161.020004,158.869995,160.259995,137.003632,5063500
