Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,111.230003,112.419998,111.129997,112.389999,105.914291,540600
2018-01-03,112.629997,113.690002,112.550003,113.309998,106.781288,506200
2018-01-04,114.779999,115.300003,114.699997,115.050003,108.421028,539300
2018-01-05,115.449997,116.500000,115.360001,116.330002,109.627274,475300
2018-01-08,115.089996,115.419998,114.760002,114.800003,108.185432,515400
2018-01-09,114.360001,114.459999,113.449997,114.160004,107.582306,515900
2018-01-10,113.639999,113.820000,112.589996,112.870003,106.366631,705800
2018-01-11,110.540001,110.650002,109.370003,109.639999,103.322739,2291200
2018-01-12,109.830002,110.629997,109.510002,110.129997,103.784515,1603200
2018-01-16,111.980003,112.379997,110.449997,110.680000,104.302818,927200
2018-01-17,110.080002,111.349998,109.900002,111.190002,104.783440,977100
2018-01-18,111.779999,112.180000,111.089996,111.669998,105.235786,898000
2018-01-19,113.089996,113.250000,112.650002,113.199997,106.677620,821900
2018-01-22,112.180000,112.790001,111.800003,112.779999,106.281822,671500
2018-01-23,114.019997,114.650002,113.739998,114.269997,107.685966,524600
2018-01-24,114.959999,115.330002,114.029999,114.370003,107.780212,562100
2018-01-25,114.169998,114.279999,112.639999,112.839996,106.338364,639000
2018-01-26,113.830002,114.580002,113.660004,114.540001,107.940414,1563000
2018-01-29,113.720001,114.150002,112.879997,113.540001,106.998032,1948500
2018-01-30,112.980003,113.150002,110.190002,110.809998,104.425331,6145800
2018-01-31,112.349998,113.419998,111.970001,113.250000,106.724739,5107400
2018-02-01,112.220001,112.559998,111.360001,111.650002,105.216927,1354200
2018-02-02,110.849998,110.849998,108.970001,109.150002,102.860970,1298000
2018-02-05,107.779999,108.949997,105.400002,105.870003,99.769966,1350600
2018-02-06,104.930000,108.480003,104.660004,108.360001,102.116486,1713100
2018-02-07,105.800003,106.620003,104.839996,105.089996,99.034897,1971700
2018-02-08,104.769997,104.870003,101.610001,101.660004,95.802544,1058700
2018-02-09,102.529999,103.089996,99.199997,101.989998,96.113518,1377200
2018-02-12,102.919998,103.239998,102.180000,102.750000,96.829727,959300
2018-02-13,102.589996,102.949997,102.180000,102.800003,96.876854,933900
2018-02-14,102.480003,105.169998,102.440002,105.129997,99.072601,1121300
2018-02-15,105.339996,105.660004,104.000000,105.559998,99.477829,1204200
2018-02-16,104.610001,105.580002,104.550003,104.900002,98.855858,547200
2018-02-20,103.989998,104.930000,103.839996,104.230003,98.224457,1600800
2018-02-21,104.129997,104.750000,103.199997,103.250000,97.300926,1195800
2018-02-22,103.430000,104.610001,102.949997,104.139999,98.139648,1183100
2018-02-23,103.959999,104.959999,103.790001,104.900002,98.855858,1388100
2018-02-26,104.309998,105.360001,103.709999,105.309998,99.242233,1813500
2018-02-27,105.449997,105.790001,104.070000,104.070000,98.073677,993300
2018-02-28,105.120003,105.690002,104.440002,104.500000,98.478897,946200
2018-03-01,102.820000,103.050003,101.150002,102.000000,96.122940,1966200
2018-03-02,101.699997,102.849998,101.080002,102.709999,96.792030,795800
2018-03-05,103.019997,104.769997,102.980003,104.599998,98.573143,1018900
2018-03-06,105.120003,105.330002,104.699997,105.080002,99.025490,656600
2018-03-07,107.400002,107.940002,106.860001,107.910004,101.692429,1356700
2018-03-08,108.459999,108.879997,108.080002,108.339996,102.097641,1154100
2018-03-09,108.410004,109.199997,108.269997,109.120003,102.832703,876200
2018-03-12,108.809998,109.260002,108.230003,108.980003,102.700775,717900
2018-03-13,109.480003,109.529999,107.400002,107.620003,101.419136,730900
2018-03-14,108.599998,108.650002,107.400002,108.080002,101.852631,492800
2018-03-15,108.300003,109.000000,108.050003,108.489998,102.239006,819500
2018-03-16,107.480003,108.250000,107.290001,107.519997,101.324883,578400
2018-03-19,106.160004,106.260002,105.239998,106.239998,100.118645,485600
2018-03-20,104.099998,105.199997,104.099998,104.900002,98.855858,878000
2018-03-21,104.800003,105.849998,104.730003,105.099998,99.044334,693900
2018-03-22,104.720001,105.410004,103.870003,103.940002,97.951164,936500
2018-03-23,104.260002,104.389999,102.410004,102.480003,96.575287,800800
2018-03-26,104.709999,105.120003,102.750000,104.830002,98.789886,627500
2018-03-27,104.900002,105.339996,102.419998,103.029999,97.093597,815200
2018-03-28,103.949997,105.199997,103.540001,103.980003,97.988869,1044200
2018-03-29,104.730003,105.839996,104.260002,105.160004,99.100876,670000
2018-04-02,105.080002,105.180000,102.419998,103.290001,97.338615,452400
2018-04-03,103.889999,104.160004,102.690002,103.669998,97.696716,1043500
2018-04-04,102.370003,104.750000,102.330002,104.470001,98.450623,690300
2018-04-05,105.470001,106.099998,105.099998,105.440002,99.364746,468300
2018-04-06,105.839996,106.449997,105.059998,105.360001,99.289345,598600
2018-04-09,107.949997,108.080002,107.120003,107.169998,100.995056,821500
2018-04-10,107.980003,108.360001,107.260002,107.739998,101.532219,969900
2018-04-11,107.309998,108.000000,106.860001,106.970001,100.806580,794600
2018-04-12,107.709999,108.190002,107.589996,107.910004,101.692429,602600
2018-04-13,108.540001,108.620003,107.860001,108.129997,101.899742,483500
2018-04-16,108.389999,108.500000,107.730003,107.949997,101.730118,390700
2018-04-17,108.449997,109.629997,108.320000,109.440002,103.134270,587200
2018-04-18,109.580002,109.599998,108.760002,109.010002,102.729050,639000
2018-04-19,108.860001,109.070000,107.089996,107.870003,101.654732,900300
2018-04-20,106.800003,106.800003,105.860001,106.000000,99.892464,1004000
2018-04-23,106.449997,106.720001,105.570000,105.980003,99.873627,1179600
2018-04-24,110.589996,111.129997,108.500000,108.500000,102.248436,3034900
2018-04-25,108.580002,109.000000,107.610001,108.889999,102.615952,1009200
2018-04-26,109.330002,110.220001,109.150002,109.879997,103.548912,1801400
2018-04-27,111.379997,111.570000,110.540001,111.349998,104.934212,946400
2018-04-30,110.739998,111.510002,110.690002,110.830002,104.444176,412400
2018-05-01,110.410004,111.750000,110.169998,111.720001,105.282906,896400
2018-05-02,112.519997,112.739998,111.720001,111.980003,105.527916,984800
2018-05-03,112.919998,113.300003,111.669998,113.139999,106.621078,737600
2018-05-04,112.620003,114.209999,112.570000,114.019997,107.450371,896300
2018-05-07,114.349998,114.610001,113.769997,113.989998,107.422096,894700
2018-05-08,113.989998,115.099998,113.870003,114.800003,108.185432,982800
2018-05-09,114.730003,115.360001,114.349998,115.070000,108.439880,814600
2018-05-10,115.480003,116.690002,115.379997,116.459999,109.749786,1717800
